Категория,Артикул,Название,Бренд,Цена,Ссылка,Размеры и наличие,Всего,Фото,Санкт-Петербург (Ярослава Гашека),Санкт-Петербург (Спортивная),Екатеринбург (Основной склад),Екатеринбург (Соболева),Екатеринбург (Парина),Екатеринбург (Бисертская),Екатеринбург (Елизаветинское шоссе),Тюмень (Народная),Уфа,Ижевск
Сумки и чехлы,260125-BKDG,Рюкзак Head Pro X Backpack 30L - Black/Dark Grey,Head,11332 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-x-backpack-30l-black-dark-grey-18645,Санкт-Петербург (Спортивная): 1 сет | Ижевск: 1 сет | Соболева: 1 сет | Тюмень (Народная): 1 сет | Парина: 1 сет | Бисертская: 1 сет | Уфа: 1 сет | Тюмень: 1 сет,8.0,data\product_images\fb7ded1fe06d.png,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0
Сумки и чехлы,260914-CCTE,Сумка Head Tour Racquet Bag XL - Ceramic/Teal,Head,9743 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-xl-ceramic-teal-17054,Парина: 1 сет | Тюмень (Народная): 1 сет,2.0,data\product_images\92d897ac9e1c.png,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Сумки и чехлы,TB76-1559,Сумка 7/6 Tournament Bag - Red,7/6,4995 ₽,https://saletennis.com/catalog/product/sumka-7-6-tournament-bag-red-16794,Уфа: 2 сет | Санкт-Петербург (Ярослава Гашека): 1 сет | Парина: 3 сет | Тюмень (Народная): 1 сет | Основной склад Екатеринбург: 4 сет | Соболева: 2 сет,13.0,data\product_images\d40bd02f8432.png,1.0,0.0,4.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0
Сумки и чехлы,40TOURIG12,Сумка Tecnifibre Tour Endurance 12R - Orange,Tecnifibre,13592 ₽,https://saletennis.com/catalog/product/sumka-tecnifibre-tour-endurance-12r-orange-19082,Соболева: 1 сет | Тюмень (Народная): 1 сет | Санкт-Петербург (Спортивная): 1 сет,3.0,data\product_images\384981417f76.png,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Сумки и чехлы,WR8024201001,Рюкзак Wilson Tour Backpack - Ultra Blue,Wilson,11192 ₽,https://saletennis.com/catalog/product/riukzak-wilson-tour-backpack-ultra-blue-16060,Тюмень: 1 сет,1.0,data\product_images\0f5324b265e4.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Сумки и чехлы,260216-BK,Сумка Head Tour Racquet Bag L - Black,Head,8902 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-l-black-19449,Тюмень (Народная): 1 сет | Ижевск: 1 сет | Основной склад Екатеринбург: 1 сет | Санкт-Петербург (Спортивная): 1 сет | Парина: 1 сет | Соболева: 1 сет,6.0,data\product_images\f0ead59b1625.png,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Сумки и чехлы,1920194,Сумка Solinco Travel Roller Bag - Black,Solinco,25990 ₽,https://saletennis.com/catalog/product/sumka-solinco-travel-roller-bag-black-19136,Основной склад Екатеринбург: 2 сет,2.0,data\product_images\7e42cff162f4.png,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сумки и чехлы,260035-BK,Рюкзак Head Pro X Backpack 25L - Black,Head,7493 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-x-backpack-25l-black-18644,Ижевск: 1 сет | Уфа: 2 сет | Парина: 1 сет | Санкт-Петербург (Спортивная): 3 сет | Бисертская: 1 сет | Соболева: 2 сет | Тюмень (Народная): 2 сет,12.0,data\product_images\fcba2c8e52ff.png,0.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0
Сумки и чехлы,1920565,Рюкзак Solinco Tour Team Camo - White/Grey,Solinco,6990 ₽,https://saletennis.com/catalog/product/riukzak-solinco-tour-team-camo-white-grey-16722,Парина: 1 сет | Уфа: 1 сет | Соболева: 2 сет | Тюмень (Народная): 1 сет | Ижевск: 1 сет | Бисертская: 1 сет,7.0,data\product_images\4a951899ae76.png,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
Сумки и чехлы,WR8030201001,Сумка Wilson Shift Super Tour Duffle Artic Ice,Wilson,7992 ₽,https://saletennis.com/catalog/product/sumka-wilson-shift-super-tour-duffle-artic-ice-18974,Парина: 1 сет,1.0,data\product_images\06288043090c.png,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Сумки и чехлы,260306-OR,Сумка Head Tour Racquet Bag XL - Orange,Head,10117 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-xl-orange-19454,Санкт-Петербург (Спортивная): 1 сет | Соболева: 1 сет,2.0,data\product_images\b0947c24e739.png,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Сумки и чехлы,753118-100,Рюкзак Babolat Pure Strike 2026,Babolat,11992 ₽,https://saletennis.com/catalog/product/riukzak-babolat-pure-strike-2026-18749,Парина: 1 сет,1.0,data\product_images\67d5dc34695a.png,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Сумки и чехлы,40TOUNAVBP,Рюкзак Tecnifibre Tour Endurance - Navy,Tecnifibre,9992 ₽,https://saletennis.com/catalog/product/riukzak-tecnifibre-tour-endurance-navy-16910,Бисертская: 1 сет,1.0,data\product_images\6c4508a25046.png,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Сумки и чехлы,260414-LLAN,Сумка Head Pro Duffle Bag M - Liquid Lime/Anthracite,Head,10493 ₽,https://saletennis.com/catalog/product/sumka-head-pro-duffle-bag-m-liquid-lime-anthracite-18648,Уфа: 1 сет | Тюмень (Народная): 1 сет | Соболева: 1 сет | Парина: 2 сет | Санкт-Петербург (Спортивная): 2 сет,7.0,data\product_images\70cb1c9c7a30.png,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0
Сумки и чехлы,TB76-BKGR,Сумка 7/6 Tournament Bag - Black/Grey,7/6,9990 ₽,https://saletennis.com/catalog/product/sumka-7-6-tournament-bag-black-grey-18657,Санкт-Петербург (Спортивная): 2 сет | Соболева: 1 сет | Ижевск: 1 сет | Тюмень (Народная): 1 сет | Основной склад Екатеринбург: 1 сет | Уфа: 2 сет,8.0,data\product_images\b7d4eee256b6.png,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
Сумки и чехлы,WR8031801001,Сумка Wilson Blade Super Tour 15PK V9.0,Wilson,16490 ₽,https://saletennis.com/catalog/product/sumka-wilson-blade-super-tour-15pk-v9-0-15814,Соболева: 1 сет,1.0,data\product_images\24e8ef94ce2f.png,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Сумки и чехлы,260316-OR,Сумка Head Tour Racquet Bag L - Orange,Head,8902 ₽,https://saletennis.com/catalog/product/sumka-head-tour-racquet-bag-l-orange-19450,Тюмень (Народная): 1 сет | Парина: 1 сет | Санкт-Петербург (Спортивная): 1 сет | Уфа: 1 сет | Ижевск: 1 сет,5.0,data\product_images\8e6f5b99b4ce.png,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Сумки и чехлы,WR8058101001,Сумка Wilson Defyer V1 9PK Red,Wilson,16792 ₽,https://saletennis.com/catalog/product/sumka-wilson-defyer-v1-9pk-red-19351,Ижевск: 1 сет | Бисертская: 1 сет | Парина: 1 сет,3.0,data\product_images\f53242ec1cb3.png,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Сумки и чехлы,KB276-PK,Детский рюкзак 7/6 Kids Backpack 2.0 - Pink,7/6,4990 ₽,https://saletennis.com/catalog/product/dietskii-riukzak-7-6-kids-backpack-2-0-pink-18815,Санкт-Петербург (Ярослава Гашека): 3 сет | Ижевск: 1 сет | Санкт-Петербург (Спортивная): 5 сет | Парина: 1 сет | Тюмень (Народная): 1 сет | Бисертская: 2 сет,13.0,data\product_images\4caa53cbfd43.png,3.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
Сумки и чехлы,WR8037201001,Сумка Wilson Super Tour Travel Bag 2025,Wilson,19390 ₽,https://saletennis.com/catalog/product/sumka-wilson-super-tour-travel-bag-2025-17143,Основной склад Екатеринбург: 1 сет | Санкт-Петербург (Спортивная): 1 сет | Тюмень (Народная): 1 сет | Соболева: 1 сет,4.0,data\product_images\9aee051362b8.png,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Сумки и чехлы,261036-PK,Рюкзак Head Base Backpack 17L - Pink,Head,3637 ₽,https://saletennis.com/catalog/product/riukzak-head-base-backpack-17l-pink-19310,Бисертская: 1 сет | Парина: 1 сет,2.0,data\product_images\9c8b1850b836.png,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
