Категория,Артикул,Название,Бренд,Цена,Ссылка,Размеры и наличие,Всего,Фото,Санкт-Петербург (Ярослава Гашека),Санкт-Петербург (Спортивная),Екатеринбург (Основной склад),Екатеринбург (Соболева),Екатеринбург (Парина),Екатеринбург (Бисертская),Екатеринбург (Елизаветинское шоссе),Тюмень (Народная),Уфа,Ижевск
Сумки и чехлы,753118-100,Рюкзак Babolat Pure Strike 2026,Babolat,11992 ₽,https://saletennis.com/catalog/product/riukzak-babolat-pure-strike-2026-18749,Парина: 1 шт,1.0,public/data/product_images/565767e107fd.webp,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,261235-BK,Рюкзак Head Base Backpack 17L - Black,Head,3637 ₽,https://saletennis.com/catalog/product/riukzak-head-base-backpack-17l-black-18136,Санкт-Петербург (Спортивная): 1 шт | Соболева: 1 шт | Парина: 2 шт,4.0,public/data/product_images/bda568c9d7ec.webp,0.0,1.0,0,1.0,2.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,261335-NV,Рюкзак Head Base Backpack 17L - Navy,Head,3637 ₽,https://saletennis.com/catalog/product/riukzak-head-base-backpack-17l-navy-18138,Ижевск: 1 шт | Парина: 1 шт | Соболева: 1 шт | Тюмень (Народная): 1 шт | Санкт-Петербург (Спортивная): 1 шт | Уфа: 2 шт,7.0,public/data/product_images/c1088691975b.webp,0.0,1.0,0,1.0,1.0,0.0,0,1.0,2.0,1.0
Сумки и чехлы,261036-PK,Рюкзак Head Base Backpack 17L - Pink,Head,3637 ₽,https://saletennis.com/catalog/product/riukzak-head-base-backpack-17l-pink-19310,Бисертская: 1 шт | Парина: 1 шт,2.0,public/data/product_images/e28b9806975e.webp,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0
Сумки и чехлы,262605-BL,Рюкзак Head Paw Patrol - Blue,Head,4204 ₽,https://saletennis.com/catalog/product/riukzak-head-paw-patrol-blue-18554,Бисертская: 1 шт | Санкт-Петербург (Спортивная): 3 шт | Соболева: 1 шт,5.0,public/data/product_images/4692a331b842.webp,0.0,3.0,0,1.0,0.0,1.0,0,0.0,0.0,0.0
Сумки и чехлы,262615-PU,Рюкзак Head Paw Patrol - Purple,Head,4204 ₽,https://saletennis.com/catalog/product/riukzak-head-paw-patrol-purple-18555,Санкт-Петербург (Спортивная): 3 шт,3.0,public/data/product_images/2e08996977fd.webp,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Сумки и чехлы,260156-NV,Рюкзак Head Pro Backpack 28L - Navy,Head,6877 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-backpack-28l-navy-19445,Тюмень (Народная): 1 шт | Санкт-Петербург (Спортивная): 2 шт | Парина: 1 шт | Ижевск: 1 шт,5.0,public/data/product_images/e9b98d1b8768.webp,0.0,2.0,0,0.0,1.0,0.0,0,1.0,0.0,1.0
Сумки и чехлы,260424-LLAN,Рюкзак Head Pro Backpack 30L - Liquid Lime/Anthracite,Head,8993 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-backpack-30l-liquid-lime-anthracite-18643,Санкт-Петербург (Спортивная): 1 шт | Тюмень (Народная): 1 шт,2.0,public/data/product_images/480ba9ae3684.webp,0.0,1.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0
Сумки и чехлы,260035-BK,Рюкзак Head Pro X Backpack 25L - Black,Head,7493 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-x-backpack-25l-black-18644,Ижевск: 1 шт | Уфа: 2 шт | Парина: 1 шт | Санкт-Петербург (Спортивная): 3 шт | Бисертская: 1 шт | Соболева: 2 шт | Тюмень (Народная): 2 шт,12.0,public/data/product_images/24f59d825974.webp,0.0,3.0,0,2.0,1.0,1.0,0,2.0,2.0,1.0
Сумки и чехлы,260064-TYBK,Рюкзак Head Pro X Backpack 28L - Thyme/Black,Head,7493 ₽,https://saletennis.com/catalog/product/riukzak-head-pro-x-backpack-28l-thyme-black-16849,Санкт-Петербург (Спортивная): 1 шт | Уфа: 2 шт | Ижевск: 1 шт | Парина: 1 шт,5.0,public/data/product_images/f845614a80af.webp,0.0,1.0,0,0.0,1.0,0.0,0,0.0,2.0,1.0
